Year,Month,Day,Hour,Minute,Data Source and Uncertainty Flags,Dry Bulb Temperature,Dew Point Temperature,Relative Humidity,Atmospheric Station Pressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity,Global Horizontal Radiation,Direct Normal Radiation,Diffuse Horizontal Radiation,Global Horizontal Illuminance,Direct Normal Illuminance,Diffuse Horizontal Illuminance,Zenith Luminance,Wind Direction,Wind Speed,Total Sky Cover,Opaque Sky Cover (used if Horizontal IR Intensity missing),Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Days Since Last Snowfall,Albedo,Liquid Precipitation Depth,Liquid Precipitation Quantity
2024,1,1,1,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,0.0,-2.2,73.0,97578.80041264166,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,777.7,77777.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.17,0.0,0.0
2024,1,1,2,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,0.0,-2.2,73.0,97559.58252974405,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,777.7,77777.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.17,0.0,0.0
2024,1,1,3,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,0.0,-1.7,73.0,97578.80041264166,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,777.7,77777.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.17,0.0,0.0
2024,1,1,4,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,0.0,-0.6,74.0,97598.01829553928,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,777.7,77777.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.17,0.0,0.0
2024,1,1,5,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-0.6,-0.6,73.0,97598.01829553928,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.5,6.0,6.0,777.7,77777.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.17,0.0,0.0
2024,1,1,6,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-0.6,-1.1,75.0,97617.23617843688,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,2.6,7.0,7.0,777.7,77777.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-1.1,-1.7,91.0,97674.88982712974,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,2.1,0.0,0.0,777.7,77777.0,9.0,999999999.0,6.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-1.7,-2.2,72.0,97761.370300169,71.0,429.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,2.1,0.0,0.0,777.7,77777.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.2,-3.3,79.0,97809.41500741304,276.0,1415.0,206.0,49.0,211.0,22.0,10911.0,35930.0,5330.0,2921.0,320.0,3.1,3.0,3.0,777.7,77777.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.8,-3.9,72.0,97905.50442190112,436.0,1415.0,206.0,156.0,494.0,57.0,22764.0,57528.0,8934.0,4039.0,310.0,3.6,0.0,0.0,777.7,77777.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.8,-3.9,68.0,97953.54912914516,541.0,1415.0,215.0,274.0,634.0,77.0,33501.0,69098.0,10840.0,4311.0,310.0,3.1,0.0,0.0,777.7,77777.0,9.0,999999999.0,6.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.2,-3.9,63.0,97982.3759534916,583.0,1415.0,211.0,362.0,728.0,86.0,39611.0,73200.0,12187.0,4692.0,320.0,4.1,0.0,0.0,777.7,77777.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,13,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.8,-4.4,58.0,97963.15807059396,561.0,1415.0,213.0,393.0,722.0,98.0,39730.0,65662.0,13834.0,6443.0,320.0,4.1,0.0,0.0,777.7,77777.0,9.0,999999999.0,6.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,14,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.2,-4.4,58.0,97924.72230479874,474.0,1415.0,222.0,342.0,568.0,116.0,33842.0,51783.0,14580.0,8982.0,340.0,4.6,0.0,0.0,777.7,77777.0,9.0,999999999.0,6.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,15,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-2.8,-5.0,60.0,97963.15807059396,330.0,1415.0,243.0,261.0,438.0,115.0,24037.0,44575.0,12257.0,9350.0,330.0,4.6,4.0,4.0,777.7,77777.0,9.0,999999999.0,6.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,16,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.8,-5.0,44.0,97982.3759534916,138.0,1415.0,228.0,178.0,436.0,77.0,13288.0,33315.0,7201.0,6675.0,330.0,5.1,0.0,0.0,777.7,77777.0,9.0,999999999.0,4.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,17,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.8,-5.0,46.0,98030.42066073562,0.0,860.0,233.0,74.0,0.0,32.0,4482.0,11297.0,2458.0,2467.0,340.0,3.6,0.0,0.0,777.7,77777.0,9.0,999999999.0,4.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,18,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-3.3,-5.6,67.0,98059.24748508204,0.0,0.0,223.0,10.0,0.0,6.0,513.0,0.0,300.0,105.0,320.0,3.6,3.0,3.0,777.7,77777.0,9.0,999999999.0,6.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,19,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-3.3,-5.6,52.0,98107.29219232607,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,2.6,0.0,0.0,777.7,77777.0,9.0,999999999.0,4.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,20,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-3.9,-6.1,52.0,98155.33689957012,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,3.6,0.0,0.0,777.7,77777.0,9.0,999999999.0,4.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,21,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-3.9,-6.1,51.0,98193.77266536537,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,4.1,0.0,0.0,777.7,77777.0,9.0,999999999.0,4.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,22,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-3.9,-6.1,55.0,98222.59948971176,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,2.6,0.0,0.0,777.7,77777.0,9.0,999999999.0,4.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,23,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-3.9,-6.1,68.0,98212.99054826295,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,3.6,0.0,0.0,777.7,77777.0,9.0,999999999.0,6.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,1,24,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-3.3,-6.1,68.0,98193.77266536537,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,2.6,5.0,5.0,777.7,940.0,9.0,999999999.0,5.0,0.085,1.0,88.0,0.16,0.0,0.0
2024,1,2,1,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-3.3,-6.1,58.0,98155.33689957012,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,3.1,4.0,4.0,777.7,818.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,2,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-3.3,-5.6,58.0,98136.1190166725,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,3.6,4.0,4.0,777.7,792.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,3,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-2.8,-5.6,57.0,98107.29219232607,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1.5,4.0,4.0,777.7,773.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,4,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-2.8,-5.6,58.0,98107.29219232607,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,2.1,4.0,4.0,777.7,653.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,5,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-2.8,-5.0,58.0,98078.46536797966,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,3.1,4.0,4.0,777.7,660.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,6,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-2.2,-5.6,61.0,98068.85642653084,0.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,4.6,4.0,4.0,777.7,603.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.2,-5.0,61.0,98107.29219232607,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,3.6,10.0,10.0,777.7,900.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.2,-5.0,62.0,98136.1190166725,71.0,427.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,4.6,10.0,10.0,777.7,900.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-2.2,-5.6,74.0,98126.5100752237,276.0,1415.0,278.0,30.0,105.0,17.0,7715.0,17693.0,4837.0,2763.0,260.0,3.1,10.0,10.0,777.7,900.0,9.0,999999999.0,7.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-1.7,-5.0,74.0,98116.90113377488,437.0,1415.0,269.0,100.0,235.0,53.0,15883.0,23804.0,11575.0,5305.0,230.0,3.1,10.0,10.0,777.7,900.0,9.0,999999999.0,7.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-1.1,-5.0,74.0,98136.1190166725,542.0,1415.0,273.0,173.0,221.0,107.0,21138.0,19500.0,16957.0,6920.0,250.0,3.1,10.0,10.0,777.7,600.0,9.0,999999999.0,7.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.0,-3.9,70.0,98078.46536797966,585.0,1415.0,282.0,190.0,156.0,131.0,21865.0,13074.0,17607.0,7003.0,250.0,2.6,10.0,10.0,777.7,600.0,9.0,999999999.0,6.0,0.084,1.0,88.0,0.16,0.1,0.0
2024,1,2,13,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.6,-4.4,81.0,97972.76701204278,563.0,1415.0,280.0,176.0,96.0,136.0,19830.0,8085.0,16559.0,7134.0,250.0,4.1,10.0,10.0,777.7,600.0,9.0,999999999.0,8.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,14,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,1.7,-3.3,71.0,97876.6775975547,477.0,1415.0,290.0,155.0,58.0,131.0,18329.0,9843.0,15695.0,8495.0,260.0,3.1,10.0,10.0,777.7,900.0,9.0,999999999.0,7.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,15,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,1.7,-3.3,71.0,97799.80606596422,333.0,1415.0,293.0,149.0,132.0,107.0,15991.0,15014.0,13866.0,9825.0,290.0,4.1,9.0,9.0,777.7,900.0,9.0,999999999.0,7.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,16,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,2.8,-3.9,72.0,97732.5434758226,141.0,1415.0,283.0,119.0,157.0,79.0,9822.0,10894.0,8957.0,7826.0,260.0,2.6,10.0,10.0,777.7,900.0,9.0,999999999.0,8.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,17,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,1.7,-3.9,76.0,97713.32559292496,0.0,880.0,275.0,43.0,0.0,33.0,3187.0,2678.0,3040.0,2848.0,230.0,4.1,10.0,10.0,777.7,450.0,0.0,999099999.0,7.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,18,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.0,-3.9,83.0,97732.5434758226,0.0,0.0,273.0,6.0,0.0,5.0,297.0,0.0,245.0,86.0,210.0,2.1,10.0,10.0,777.7,270.0,0.0,999099999.0,7.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,19,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.0,-3.3,80.0,97770.9792416178,0.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,2.1,10.0,10.0,777.7,900.0,0.0,999099999.0,7.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,20,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.0,-3.3,80.0,97761.370300169,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,2.1,10.0,10.0,777.7,900.0,9.0,999999999.0,7.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,21,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-0.6,-3.9,91.0,97751.7613587202,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,3.1,10.0,10.0,777.7,900.0,9.0,999999999.0,8.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,22,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-1.7,-4.4,80.0,97742.1524172714,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,2.6,10.0,10.0,777.7,900.0,9.0,999999999.0,6.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,23,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-1.7,-4.4,80.0,97751.7613587202,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,2.6,10.0,10.0,777.7,900.0,9.0,999999999.0,6.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,2,24,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-1.1,-4.4,79.0,97770.9792416178,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,2.6,10.0,10.0,777.7,900.0,9.0,999999999.0,6.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,3,1,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-1.1,-4.4,78.0,97751.7613587202,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,1.5,7.0,7.0,777.7,270.0,9.0,999999999.0,6.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,3,2,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-1.1,-4.4,72.0,97684.49876857852,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2.6,6.0,6.0,777.7,296.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.16,0.0,0.0
2024,1,3,3,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-0.6,-4.4,74.0,97674.88982712974,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,777.7,471.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.17,0.0,0.0
2024,1,3,4,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-1.1,-4.4,76.0,97684.49876857852,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,2.6,7.0,7.0,777.7,435.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.17,0.1,0.0
2024,1,3,5,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-0.6,-4.4,77.0,97636.4540613345,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,3.6,7.0,7.0,777.7,506.0,9.0,999999999.0,6.0,0.084,1.0,88.0,0.17,0.1,0.0
2024,1,3,6,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,-0.6,-3.9,72.0,97646.06300278332,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,3.1,6.0,6.0,777.7,509.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.17,0.1,0.0
2024,1,3,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-0.6,-3.3,87.0,97665.28088568091,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,2.1,10.0,10.0,777.7,600.0,0.0,999099999.0,6.0,0.084,1.0,88.0,0.17,0.1,0.0
2024,1,3,8,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,0.0,-2.2,79.0,97684.49876857852,71.0,427.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,2.6,7.0,7.0,777.7,534.0,9.0,999999999.0,5.0,0.084,1.0,88.0,0.17,0.1,0.0
2024,1,3,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.0,-2.8,72.0,97665.28088568091,276.0,1415.0,247.0,38.0,115.0,23.0,9746.0,19667.0,6459.0,3789.0,240.0,3.6,10.0,10.0,777.7,900.0,0.0,999099999.0,5.0,0.084,1.0,88.0,0.17,0.1,0.0
2024,1,3,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.0,-2.8,72.0,97684.49876857852,437.0,1415.0,243.0,123.0,261.0,71.0,17147.0,25714.0,12527.0,5882.0,240.0,2.1,9.0,9.0,777.7,900.0,0.0,999099999.0,5.0,0.084,1.0,88.0,0.17,0.1,0.0
2024,1,3,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.0,-3.3,72.0,97694.10771002735,543.0,1415.0,248.0,174.0,234.0,105.0,21433.0,19605.0,16472.0,6651.0,210.0,2.6,9.0,9.0,777.7,900.0,0.0,999099999.0,5.0,0.084,2.0,88.0,0.17,0.1,0.0
2024,1,3,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.6,-3.3,72.0,97684.49876857852,587.0,1415.0,266.0,194.0,140.0,142.0,24384.0,13108.0,19262.0,7796.0,210.0,2.6,9.0,9.0,777.7,900.0,0.0,999099999.0,5.0,0.084,2.0,88.0,0.17,0.1,0.0
